,Code,SoldAfterDays,CountEntity,Rank_SoldAfterDays,Rank_CountEntity,Score
70,Sprigs,166.40449438202248,89,118.0,15.0,133.0
715,Cutlery,9.125,8,2.0,132.0,134.0
20,Radiators,172.92561983471074,121,125.0,9.0,134.0
625,Washers,119.4,15,63.0,73.0,136.0
340,Cushions,87.8,10,29.0,108.0,137.0
474,Sinks,103.9090909090909,11,44.0,94.0,138.0
207,Column guards,113.46153846153847,13,55.0,84.0,139.0
558,Catering refrigerators,108.9090909090909,11,46.0,94.0,140.0
73,Bidets,174.91379310344828,116,130.0,11.0,141.0
57,Ceramic slates,142.45833333333334,24,91.0,50.0,141.0
1,Projectors,138.75,20,85.0,58.0,143.0
147,Glass brise-soleil louvre blades,112.27272727272727,11,50.0,94.0,144.0
259,Baths,115.08333333333333,12,57.0,87.0,144.0
100,Scagliola,165.20454545454547,44,116.0,30.0,146.0
45,High-security doorsets,114.54545454545455,11,56.0,94.0,150.0
138,Furnishings,151.28,25,101.0,49.0,150.0
8,Suspended luminaires,175.07042253521126,71,131.0,20.0,151.0
40,Built-in electric hobs,175.54166666666666,72,133.0,19.0,152.0
127,Bin stores,167.4878048780488,41,119.0,33.0,152.0
295,Garden awnings,77.125,8,20.0,132.0,152.0
308,Wardrobes,125.25,12,67.0,87.0,154.0
413,Frameless glass door leaves,95.33333333333333,9,37.0,117.0,154.0
67,Manual trapdoors,169.82926829268294,41,122.0,33.0,155.0
34,Metal suspended ceiling hangers,171.34883720930233,43,124.0,31.0,155.0
117,Electrical diagrams,117.81818181818181,11,61.0,94.0,155.0
137,Duct banks,110.9,10,48.0,108.0,156.0
197,Food preparation tables,118.72727272727273,11,62.0,94.0,156.0
129,Primer-undercoats,111.6,10,49.0,108.0,157.0
272,Shower curtains,99.66666666666667,9,41.0,117.0,158.0
124,Flower pouches,112.7,10,52.0,108.0,160.0
7,Metal skirtings,181.9264705882353,68,140.0,21.0,161.0
505,Kitchen worktops,66.85714285714286,7,17.0,146.0,163.0
230,Wall hangings,127.36363636363636,11,71.0,94.0,165.0
354,Metal tubes and hollow sections,5.833333333333333,6,1.0,165.0,166.0
82,Office chairs,90.875,8,34.0,132.0,166.0
51,Wood doorsets,173.3030303030303,33,127.0,40.0,167.0
533,Heat pipes,129.72727272727272,11,75.0,94.0,169.0
174,Steel spiles,113.22222222222223,9,53.0,117.0,170.0
75,Wood veneers,137.16666666666666,12,83.0,87.0,170.0
232,Ventilation grilles,81.71428571428571,7,24.0,146.0,170.0
11,Vault doors,181.02325581395348,43,139.0,31.0,170.0
132,Strip ventilators,143.0,14,92.0,79.0,171.0
578,Plastics window films,82.0,7,25.0,146.0,171.0
610,Steam traps and strainers,117.0,9,59.0,117.0,176.0
300,Duvets,110.125,8,47.0,132.0,179.0
342,Meeting room tables,55.0,6,15.0,165.0,180.0
170,Shower enclosures,139.36363636363637,11,87.0,94.0,181.0
177,Occupancy detectors,122.55555555555556,9,65.0,117.0,182.0
50,Steppers,197.49056603773585,53,154.0,28.0,182.0
62,Water strainers,178.86206896551724,29,137.0,46.0,183.0
72,Equipment,161.33333333333334,15,110.0,73.0,183.0
22,Soap dispensers,173.85714285714286,21,128.0,55.0,183.0
608,Wall-hung washbasins,69.16666666666667,6,19.0,165.0,184.0
106,Preformed casings,126.33333333333333,9,69.0,117.0,186.0
349,Fire detection and alarm devices and control equipment,151.46153846153845,13,102.0,84.0,186.0
15,Column casings,174.8,20,129.0,58.0,187.0
427,Porcelain tiles,79.66666666666667,6,22.0,165.0,187.0
188,Gates and turnstiles,153.5,12,103.0,87.0,190.0
157,Corner guards,175.25,20,132.0,58.0,190.0
249,Rainwater weirs,108.28571428571429,7,45.0,146.0,191.0
71,Newspaper dispensers,197.85,40,155.0,36.0,191.0
111,Heat pumps,189.3548387096774,31,149.0,42.0,191.0
374,Excavated earth and fill materials,194.0,31,150.0,42.0,192.0
141,Concealed hinges,180.2,20,138.0,58.0,196.0
18,Countertop washbasins,153.8181818181818,11,104.0,94.0,198.0
220,Veneers and facings,89.66666666666667,6,33.0,165.0,198.0
33,Bolsters,162.83333333333334,12,111.0,87.0,198.0
31,Cable troughs,236.58536585365854,41,168.0,33.0,201.0
296,Dovecotes,138.22222222222223,9,84.0,117.0,201.0
377,Lighting distribution boxes,194.0,22,150.0,53.0,203.0
39,Modular cassette ventilated ceilings,177.5625,16,136.0,68.0,204.0
305,Chaises longues,98.16666666666667,6,39.0,165.0,204.0
166,Whiteboards,128.625,8,72.0,132.0,204.0
182,Wood architraves,184.0,17,142.0,66.0,208.0
86,Balancing veneers,131.625,8,77.0,132.0,209.0
543,Electric boilers,121.85714285714286,7,64.0,146.0,210.0
92,Recessed luminaires,213.7826086956522,23,161.0,51.0,212.0
303,Doorsets,136.125,8,82.0,132.0,214.0
258,Rail pads,176.71428571428572,14,135.0,79.0,214.0
55,Air conditioning units,203.05555555555554,18,156.0,65.0,221.0
378,Wiring accessories,194.0,15,150.0,73.0,223.0
65,Coaxial cables,176.0909090909091,11,134.0,94.0,228.0
252,Prefabricated balconies,162.88888888888889,9,112.0,117.0,229.0
89,Healthcare hand rinse basins,149.25,8,97.0,132.0,229.0
53,Voice alarm controllers,216.25,16,162.0,68.0,230.0
122,Plaques,241.73684210526315,19,169.0,62.0,231.0
234,Automatic revolving doorsets,150.5,8,100.0,132.0,232.0
307,Tee hinges,126.33333333333333,6,69.0,165.0,234.0
240,Pot bearings,141.71428571428572,7,89.0,146.0,235.0
91,Coffered ceiling infill units,168.0,9,121.0,117.0,238.0
621,Mirrors,131.0,6,76.0,165.0,241.0
110,Stoppers,139.0,6,86.0,165.0,251.0
25,Window hinges,309.6666666666667,15,178.0,73.0,251.0
585,Shower doors,167.875,8,120.0,132.0,252.0
556,Under-mounted washbasins,139.5,6,88.0,165.0,253.0
14,Digital cameras,261.35714285714283,14,174.0,79.0,253.0
231,Gratings,159.0,7,108.0,146.0,254.0
511,Plastics skirtings,142.33333333333334,6,90.0,165.0,255.0
87,Water flumes,159.14285714285714,7,109.0,146.0,255.0
246,Escalators,185.33333333333334,9,145.0,117.0,262.0
69,Sample coolers,186.0,9,147.0,117.0,264.0
135,Acoustic duct linings,205.2,10,157.0,108.0,265.0
12,Garage door holders,208.6,10,159.0,108.0,267.0
187,Natural stone quoins,173.28571428571428,7,126.0,146.0,272.0
95,Towels,208.44444444444446,9,158.0,117.0,275.0
44,Stone slabs,243.3,10,170.0,108.0,278.0
54,Garden furnishings,243.8,10,171.0,108.0,279.0
375,Wood-burning stoves,164.16666666666666,6,115.0,165.0,280.0
48,Sanitary towel dispensers,182.42857142857142,7,141.0,146.0,287.0
41,Guard barriers,184.42857142857142,7,143.0,146.0,289.0
326,Commercial gas griddles,185.14285714285714,7,144.0,146.0,290.0
98,Concrete bollards,212.875,8,160.0,132.0,292.0
121,Footstools,185.57142857142858,7,146.0,146.0,292.0
94,Shower head holders,297.0,9,176.0,117.0,293.0
46,Playground bark,187.85714285714286,7,148.0,146.0,294.0
376,Energy meters,194.0,7,150.0,146.0,296.0
172,Decorative facings,223.875,8,166.0,132.0,298.0
144,Elevator bolts,247.375,8,173.0,132.0,305.0
58,Aluminium doorsets,299.25,8,177.0,132.0,309.0
155,Wood lathings,310.0,7,179.0,146.0,325.0
255,Built-in gas hobs,320.7142857142857,7,180.0,146.0,326.0
101,Multistage pumps,323.7142857142857,7,181.0,146.0,327.0
313,Stainless steel arris armourings,216.66666666666666,6,163.0,165.0,328.0
93,Diplexers,219.66666666666666,6,164.0,165.0,329.0
167,Extender cables,443.85714285714283,7,183.0,146.0,329.0
171,Shower heads,222.83333333333334,6,165.0,165.0,330.0
163,Vases,228.0,6,167.0,165.0,332.0
96,Sink taps,246.83333333333334,6,172.0,165.0,337.0
10,Alarms,263.1666666666667,6,175.0,165.0,340.0
59,Door dampers,378.0,6,182.0,165.0,347.0
