,UBP_Total,UPB_Fabrication,UBP_Élimination,REN_Total,REN_Total fabrication,REN_Valorisé sous forme énergétique fabrication,REN_Valorisé sous forme de matière fabrication,REN_Élimination,NREN_Total,NREN_Total fabrication,NREN_Valorisé sous forme énergétique fabrication,NREN_Valorisé sous forme de matière fabrication,NREN_Élimination,GES_Total,GES_Fabrication,GES_Élimination,Contenu dans le produit,Travaux de préparation,material_emb
18,30800.0,30800.0,0.0,1.52,1.52,1.52,0.0,0.0,28.8,28.8,28.8,0.0,0.0,6.74,6.74,0.0,0.0,"Fondations profondes, colonnes ballastées",Fine lightweight aggregates for concrete and mortar
19,44600.0,44600.0,0.0,5.26,5.26,5.26,0.0,0.0,58.5,58.5,58.5,0.0,0.0,29.2,29.2,0.0,0.0,"Fondations profondes, pieu en béton préfabriqué",Precast concrete
20,21.0,21.0,0.0,0.0223,0.0223,0.0223,0.0,0.0,0.0837,0.0837,0.0837,0.0,0.0,0.00515,0.00515,0.0,0.0,"Épuisement des eaux, hauteur de refoulement, 2,5 m",
21,24.6,24.6,0.0,0.0262,0.0262,0.0262,0.0,0.0,0.0981,0.0981,0.0981,0.0,0.0,0.00602,0.00602,0.0,0.0,"Épuisement des eaux, hauteur de refoulement, 5 m",
22,28.5,28.5,0.0,0.0305,0.0305,0.0305,0.0,0.0,0.114,0.114,0.114,0.0,0.0,0.00699,0.00699,0.0,0.0,"Épuisement des eaux, hauteur de refoulement, 7,5 m",
23,32.9,32.9,0.0,0.0351,0.0351,0.0351,0.0,0.0,0.132,0.132,0.132,0.0,0.0,0.00804,0.00804,0.0,0.0,"Épuisement des eaux, hauteur de refoulement, 10 m",
24,104.0,68.8,35.4,0.0101,0.00821,0.00821,0.0,0.00188,0.128,0.0767,0.0767,0.0,0.0516,0.0628,0.0502,0.0126,0.0,Béton maigre (sans armature),Reinforced concrete
25,153.0,118.0,35.2,0.0146,0.0128,0.0128,0.0,0.00187,0.175,0.123,0.123,0.0,0.0513,0.101,0.0887,0.0126,0.0,Béton pour bâtiment (sans armature),Reinforced concrete
26,163.0,128.0,35.1,0.0157,0.0138,0.0138,0.0,0.00186,0.189,0.138,0.138,0.0,0.0513,0.109,0.0963,0.0125,0.0,Béton pour travaux de génie civil (sans armature),Reinforced concrete
27,174.0,139.0,35.1,0.0168,0.0149,0.0149,0.0,0.00186,0.197,0.146,0.146,0.0,0.0512,0.119,0.106,0.0125,0.0,Béton pour pieux (sans armature),Rubble concrete
28,440.0,409.0,31.0,0.074,0.0723,0.0723,0.0,0.00165,0.697,0.652,0.652,0.0,0.0453,0.276,0.265,0.0111,0.0,"Élément préfabriqué en béton, béton à hautes performances, sortie d'usine",High-performance concrete
29,282.0,248.0,33.9,0.0938,0.092,0.092,0.0,0.0018,0.432,0.383,0.383,0.0,0.0495,0.177,0.165,0.0121,0.0,"Élément préfabriqué en béton, béton normal, sortie d'usine",Precast structural concrete
30,665.0,663.0,1.69,0.899,0.899,0.0606,0.839,1.6e-05,0.959,0.959,0.959,0.0,0.000296,0.324,0.324,7.32e-05,0.0649,Béton chaux-chanvre,Lime concrete
31,639.0,638.0,1.69,0.865,0.865,0.026,0.839,1.6e-05,0.922,0.922,0.922,0.0,0.000296,0.312,0.312,7.32e-05,0.0649,"Béton chaux-chanvre, ARBIO",Lime concrete
32,371.0,328.0,42.5,0.0799,0.0777,0.0777,0.0,0.00216,0.787,0.734,0.734,0.0,0.0526,0.266,0.254,0.0127,0.0,Brique en terre cuite,Terracotta
33,420.0,378.0,42.5,0.105,0.103,0.103,0.0,0.00216,0.914,0.861,0.861,0.0,0.0526,0.283,0.27,0.0127,0.0,"Brique en terre cuite, remplie de perlite, zz wancor",Terracotta
34,258.0,215.0,42.5,0.0386,0.0364,0.0364,0.0,0.00216,0.389,0.337,0.337,0.0,0.0526,0.162,0.149,0.0127,0.0,Grès,Sandstone
35,196.0,153.0,42.5,0.0347,0.0325,0.0325,0.0,0.00216,0.315,0.263,0.263,0.0,0.0526,0.115,0.102,0.0127,0.0,"Grès, FBB",Stone
36,190.0,148.0,42.5,0.0166,0.0145,0.0145,0.0,0.00216,0.287,0.235,0.235,0.0,0.0526,0.106,0.0938,0.0127,0.0,"Grès, Hunziker Kalksandstein AG",Sandstone
37,353.0,311.0,42.5,0.792,0.79,0.79,0.0,0.00216,0.764,0.711,0.711,0.0,0.0526,0.18,0.167,0.0127,0.0,Brique en argile légère,Fire clay
38,609.0,566.0,42.5,0.0553,0.0531,0.0531,0.0,0.00216,1.42,1.37,1.37,0.0,0.0526,0.428,0.415,0.0127,0.0,Pierre en béton léger: argile expansée,Expanded clay lightweight aggregates
39,322.0,280.0,42.5,0.036,0.0338,0.0338,0.0,0.00216,0.363,0.31,0.31,0.0,0.0526,0.212,0.2,0.0127,0.0,Pierre en béton léger: pierre ponce naturelle,Natural stone dusts
40,573.0,531.0,42.5,0.0694,0.0673,0.0673,0.0,0.00216,0.859,0.807,0.807,0.0,0.0526,0.426,0.413,0.0127,0.0,Béton cellulaire,Concrete
41,214.0,172.0,42.5,0.0259,0.0237,0.0237,0.0,0.00216,0.225,0.173,0.173,0.0,0.0526,0.126,0.114,0.0127,0.0,Plot de ciment,Cement
42,136.0,84.0,51.6,0.01,0.01,0.00573,0.00427,0.0,0.142,0.129,0.126,0.00274,0.013,0.057,0.054,0.003,0.0,"Bloc de terre compressé, terrabloc",Fuller's earth
43,824.0,751.0,72.1,1.81,1.8,0.0873,1.72,0.00431,1.91,1.77,1.77,0.0,0.145,0.372,0.338,0.0334,0.15,"Pierres de chanvre, Schönthaler AG",Coade stone
44,43.3,3.16,40.2,0.00366,0.00144,0.00144,0.0,0.00221,0.0616,0.00905,0.00905,0.0,0.0526,0.014,0.00132,0.0126,0.0,Granulés de béton,Cement-bound granular mixtures
45,326.0,284.0,42.5,0.0373,0.0352,0.0352,0.0,0.00216,0.468,0.416,0.416,0.0,0.0526,0.209,0.196,0.0127,0.0,Tuiles en béton,Concrete
46,1100.0,1030.0,67.8,0.49,0.489,0.489,0.0,0.00158,2.16,2.11,2.11,0.0,0.0528,0.699,0.686,0.0132,0.0,Bardeau de fibrociment,Asphalt cement
47,1510.0,1450.0,67.8,0.614,0.612,0.612,0.0,0.00158,2.92,2.87,2.87,0.0,0.0528,1.03,1.02,0.0132,0.0,"Dalle de fibrociment, grande",Expansive concrete
48,1060.0,991.0,67.8,0.552,0.55,0.55,0.0,0.00158,1.78,1.72,1.72,0.0,0.0528,0.649,0.636,0.0132,0.0,Plaque ondulée en fibrociment,Portland cement
49,1990.0,1920.0,68.8,0.255,0.243,0.243,0.0,0.0118,4.64,4.53,4.53,0.0,0.109,1.2,1.18,0.0191,0.0,"Verre plat, enduit",Glass
50,1790.0,1720.0,68.8,0.138,0.126,0.126,0.0,0.0118,4.08,3.97,3.97,0.0,0.109,1.14,1.12,0.0191,0.0,"Verre plat, non enduit",Glass
51,873.0,801.0,71.4,0.0978,0.0937,0.0937,0.0,0.0041,2.47,2.39,2.39,0.0,0.0781,0.552,0.533,0.0186,0.0449,Plaque de plâtre armé de fibres,Fibreglass
52,523.0,452.0,71.7,0.0888,0.0847,0.0847,0.0,0.00409,1.33,1.25,1.25,0.0,0.0778,0.301,0.283,0.0187,0.018,Plaque de plâtre cartonnée,Fibreglass
53,531.0,459.0,71.3,0.0322,0.0281,0.0281,0.0,0.00411,1.45,1.37,1.37,0.0,0.0783,0.317,0.298,0.0185,0.0,Blocs de gypse / plâtre massif,Gypsum cement
54,1335.9,1300.0,35.9,0.51092,0.509,0.509,0.0,0.00192,2.2022,2.15,2.15,0.0,0.0522,0.8858,0.873,0.0128,0.0,Composite ciment-verre Ecomur,Glass-reinforced cement
55,112.0,69.2,42.5,0.045,0.0428,0.0428,0.0,0.00216,0.275,0.223,0.223,0.0,0.0526,0.0406,0.0279,0.0127,0.0,Plaque de grès dur,Sandstone
56,141.0,98.3,42.5,0.0261,0.0239,0.0239,0.0,0.00216,0.338,0.286,0.286,0.0,0.0526,0.0736,0.061,0.0127,0.0,Plaque de calcaire dur,Limestone
57,4100.0,4060.0,42.5,0.207,0.205,0.205,0.0,0.00216,3.72,3.67,3.67,0.0,0.0526,0.793,0.78,0.0127,0.0,Dalle de céramique/grès,Ceramic
58,64.8,24.6,40.2,0.00759,0.00538,0.00538,0.0,0.00221,0.0847,0.0321,0.0321,0.0,0.0526,0.0176,0.005,0.0126,0.0,Gravier concassé,Gravel
59,41.0,0.828,40.2,0.00228,6.5e-05,6.5e-05,0.0,0.00221,0.053,0.000456,0.000456,0.0,0.0526,0.0133,0.00071,0.0126,0.0,Granulés pour mélange,Cement-bound granular mixtures
60,59.4,19.2,40.2,0.00396,0.00175,0.00175,0.0,0.00221,0.0682,0.0156,0.0156,0.0,0.0526,0.0157,0.00305,0.0126,0.0,Gravier rond,Gravel
61,59.4,19.2,40.2,0.00396,0.00175,0.00175,0.0,0.00221,0.0682,0.0156,0.0156,0.0,0.0526,0.0157,0.00305,0.0126,0.0,Sable,Sandstone
62,4680.0,4640.0,42.5,0.355,0.352,0.352,0.0,0.00216,11.1,11.1,11.1,0.0,0.0526,2.38,2.37,0.0127,0.0,Céramique sanitaire,Ceramic
63,80.1,32.0,48.2,0.00514,0.00487,0.00487,0.0,0.00027,0.0795,0.0745,0.0745,0.0,0.00496,0.0194,0.0183,0.00115,0.0,Mur en pisé,
64,514.0,479.0,35.6,0.0345,0.0327,0.0327,0.0,0.00189,1.11,1.06,1.06,0.0,0.052,0.385,0.373,0.0127,0.0,Tuile en terre cuite,Terracotta
65,632.0,590.0,42.5,0.173,0.171,0.171,0.0,0.00204,1.53,1.47,1.47,0.0,0.0524,0.406,0.393,0.0127,0.0,Colle de construction/mortier d'enrobage minéral(e) ,Masonry cement
66,637.0,595.0,42.5,0.152,0.15,0.15,0.0,0.00204,1.61,1.56,1.56,0.0,0.0524,0.426,0.414,0.0127,0.0,Colle de construction/mortier d'enrobage minéral(e) avec agrégats légers,Fine lightweight aggregates for concrete and mortar
67,1390.0,1350.0,42.5,0.16,0.158,0.158,0.0,0.00204,4.15,4.09,4.09,0.0,0.0524,0.777,0.764,0.0127,0.0,Colle de construction/mortier d'enrobage biologique,Masonry cement
68,251.0,209.0,42.5,0.0649,0.0629,0.0629,0.0,0.00204,0.674,0.622,0.622,0.0,0.0524,0.158,0.145,0.0127,0.0,Enduit en plâtre et chaux,Lime concrete
69,241.0,199.0,42.5,0.0633,0.0612,0.0612,0.0,0.00204,0.68,0.628,0.628,0.0,0.0524,0.151,0.138,0.0127,0.0,Enduit minéral,Mineral wool
70,1740.0,1700.0,42.5,0.235,0.233,0.233,0.0,0.00204,5.2,5.15,4.37,0.779,0.0524,0.97,0.957,0.0127,0.0,Crépi synthétique (enduit de dispersion),Synthetic resin
71,395.0,353.0,42.5,0.135,0.133,0.133,0.0,0.00204,0.715,0.662,0.662,0.0,0.0524,0.263,0.251,0.0127,0.0,Enduit en plâtre et en ciment,Cement replacement materials
72,96.1,53.7,42.5,0.0186,0.0165,0.0165,0.0,0.00204,0.172,0.12,0.12,0.0,0.0524,0.0322,0.0195,0.0127,0.0,Enduit de glaise,Clays
73,574.0,531.0,42.5,0.163,0.161,0.161,0.0,0.00204,1.23,1.18,1.18,0.0,0.0524,0.372,0.36,0.0127,0.0,Enduit de glaise minérale,Bentonite clays
74,1880.0,1840.0,42.5,0.275,0.273,0.273,0.0,0.00204,5.49,5.43,5.43,0.0,0.0524,1.08,1.07,0.0127,0.0,Crépi silicate (silicate de dispersion),Condensed silica fume
75,2010.0,1970.0,42.5,0.357,0.355,0.355,0.0,0.00204,6.09,6.04,6.04,0.0,0.0524,1.14,1.13,0.0127,0.0,Crépi à la résine de silicone,Silicone resin
76,745.0,702.0,42.5,0.128,0.126,0.126,0.0,0.00204,1.77,1.72,1.72,0.0,0.0524,0.51,0.497,0.0127,0.0,Enduit à la chaux grasse,Lime concrete
77,215.0,172.0,42.5,0.0316,0.0295,0.0295,0.0,0.00216,0.429,0.376,0.376,0.0,0.0526,0.0911,0.0784,0.0127,0.0,"Chape d'anhydrite, 60 mm",Quartzite
78,206.0,163.0,42.5,0.0361,0.034,0.034,0.0,0.00216,0.231,0.179,0.179,0.0,0.0526,0.12,0.107,0.0127,0.0,"Chape de ciment, 85 mm",Cement
79,964.0,921.0,42.5,0.149,0.146,0.146,0.0,0.00204,1.79,1.74,1.31,0.424,0.0524,0.727,0.714,0.0127,0.0,Enduit d'isolation thermique EPS,Insulating glass
80,507.0,464.0,42.5,0.139,0.137,0.137,0.0,0.00204,0.901,0.848,0.848,0.0,0.0524,0.353,0.341,0.0127,0.0,Crépi en ciment,Cement
81,391.0,348.0,42.5,0.127,0.125,0.125,0.0,0.00204,0.654,0.601,0.601,0.0,0.0524,0.261,0.248,0.0127,0.0,Enduit de ciment,Cement
82,328000.0,313000.0,15500.0,72.1,71.6,71.6,0.0,0.479,703.0,698.0,698.0,0.0,5.22,182.0,169.0,13.1,0.0,"Façade, à montants et traverses, Alu/Glas",Architectural glass
83,74800.0,66600.0,8270.0,23.9,23.8,23.8,0.0,0.05,192.0,191.0,191.0,0.0,0.87,43.3,35.7,7.65,0.0,"Panneau de façade, en aluminium, 4 mm",Aluminium
84,44886.240000000005,43680.0,1206.24,17.166912000000004,17.1024,17.1024,0.0,0.064512,73.99392,72.24,72.24,0.0,1.7539200000000001,29.762880000000003,29.332800000000002,0.43008,0.0,"Élément de façade, composite ciment-verre Ecomur, 15mm",Glass-reinforced cement
85,53836.77,52389.99999999999,1446.7699999999998,20.590076,20.5127,20.5127,0.0,0.077376,88.74865999999999,86.645,86.645,0.0,2.10366,35.697739999999996,35.1819,0.51584,0.0,"Élément de façade, composite ciment-verre Ecomur, 18mm",Glass-reinforced cement
86,73300.0,58300.0,15000.0,83.7,83.5,46.7,36.7,0.2,198.0,195.0,168.0,26.5,3.05,45.9,33.3,12.6,3.28,"Panneau de façade, stratifié (HPL), 8,1 mm",
87,11000.0,7670.0,3310.0,2.03,1.87,1.87,0.0,0.169,26.4,22.3,22.3,0.0,4.1,5.74,4.75,0.989,0.0,"Panneau de façade, calcaire, 30 mm",Limestone
88,31700.0,25700.0,6000.0,3.54,3.51,3.51,0.0,0.0285,75.4,74.7,65.7,9.02,0.654,22.1,16.6,5.51,0.0,"Panneau de façade, plastique à renfort de verre (PRV), 1,6 mm",Architectural glass
89,246000.0,230000.0,16200.0,77.0,76.9,76.9,0.0,0.104,553.0,551.0,551.0,0.0,1.98,132.0,117.0,14.9,0.0,Cadre de fenêtre en aluminium,Steel-aluminium alloy
90,177000.0,171000.0,6240.0,53.9,53.9,53.9,0.0,0.0156,193.0,193.0,193.0,0.0,0.48,55.6,49.6,5.98,0.0,"Cadre de fenêtre en aluminium, WICLINE 75evo, fabriqué avec Hydro CIRCAL 75R 2",Steel-aluminium alloy
91,77700.0,70600.0,7120.0,190.0,190.0,104.0,85.7,0.0349,172.0,170.0,160.0,9.8,1.99,36.2,30.3,5.89,7.5,Cadre de fenêtre en bois,Structural glass
92,59300.0,55400.0,3960.0,114.0,114.0,67.3,47.0,0.0221,139.0,138.0,131.0,7.03,1.23,25.4,22.0,3.36,4.11,"Cadre de fenêtre en bois, Saphir intégral 67/55, G. Baumgartner AG 2",Prismatic glass
93,134000.0,125000.0,8230.0,179.0,179.0,107.0,71.4,0.0361,300.0,298.0,286.0,12.2,1.89,65.7,58.6,7.11,6.25,Cadre de fenêtre bois-métal,Structural glass
94,79600.0,71900.0,7640.0,113.0,113.0,69.6,43.5,0.0309,193.0,191.0,176.0,15.3,1.46,38.0,31.1,6.9,3.81,"Cadre de fenêtre bois-métal, Saphir intégral 55/55, G. Baumgartner AG 2",Prismatic glass
95,115000.0,103000.0,11800.0,15.4,14.9,14.9,0.0,0.483,328.0,323.0,242.0,81.1,5.31,63.4,53.2,10.2,0.0,Cadre en matière synthétique (PVC) 2,Polyvinyl chloride (PVC)
96,70700.0,65800.0,4900.0,10.2,9.97,9.97,0.0,0.271,167.0,164.0,164.0,0.0,2.66,44.3,40.7,3.6,0.0,"Double vitrage, U<1.1 W/m2K, épaisseur 24 mm 3",
97,78900.0,74800.0,4090.0,12.8,12.5,12.5,0.0,0.266,195.0,192.0,192.0,0.0,2.58,48.6,45.7,2.84,0.0,"Double vitrage, U<1.1 W/m2K, épaisseur 18 mm 3",
98,86900.0,82000.0,4900.0,18.5,18.2,18.2,0.0,0.271,216.0,214.0,214.0,0.0,2.66,52.1,48.5,3.6,0.0,"Double vitrage, verre ESG, U<1.1 W/m2K 3",Prismatic glass
99,128000.0,119000.0,8730.0,21.1,20.7,20.7,0.0,0.414,324.0,320.0,320.0,0.0,4.12,79.3,72.6,6.68,0.0,"Double vitrage, verre VSG, U<1.1 W/m2K 3",Prismatic glass
100,144000.0,136000.0,8730.0,29.4,29.0,29.0,0.0,0.414,373.0,369.0,369.0,0.0,4.12,87.0,80.4,6.68,0.0,"Double vitrage, verre ESG/VSG, U<1.1 W/m2K 3",Prismatic glass
101,128000.0,121000.0,6830.0,22.5,22.1,22.1,0.0,0.403,320.0,316.0,316.0,0.0,3.93,78.3,73.3,4.92,0.0,"Triple vitrage, U<0.5 W/m2K, épaisseur 36 mm 3",
102,110000.0,102000.0,7680.0,16.1,15.7,15.7,0.0,0.408,255.0,251.0,251.0,0.0,4.02,67.8,62.1,5.7,0.0,"Triple vitrage, U<0.6 W/m2K, épaisseur 40 mm 3",
103,143000.0,135000.0,7680.0,32.7,32.3,32.3,0.0,0.408,353.0,349.0,349.0,0.0,4.02,83.3,77.6,5.7,0.0,"Triple vitrage, verre ESG/ESG, U<0.6 W/m2K 3",Prismatic glass
104,159000.0,151000.0,7680.0,40.9,40.5,40.5,0.0,0.408,402.0,398.0,398.0,0.0,4.02,91.1,85.4,5.7,0.0,"Triple vitrage, verre ESG/ESG/ESG, U<0.6 W/m2K 3",Prismatic glass
105,167000.0,156000.0,11500.0,26.9,26.3,26.3,0.0,0.552,411.0,406.0,406.0,0.0,5.48,103.0,94.0,8.78,0.0,"Triple vitrage, verre VSG, U<0.6 W/m2K 3",Prismatic glass
106,185000.0,174000.0,11500.0,35.4,34.9,34.9,0.0,0.552,464.0,459.0,459.0,0.0,5.48,111.0,103.0,8.78,0.0,"Triple vitrage, verre ESG/VSG, U<0.6 W/m2K 3",Prismatic glass
107,16600.0,16400.0,268.0,3.58,3.56,3.56,0.0,0.0136,44.3,43.9,43.9,0.0,0.331,8.11,8.03,0.0799,0.0,"Panneau de support de crépis, liant en résine synthétique, 13 mm",Synthetic resin
108,9910.0,9300.0,612.0,2.43,2.4,2.4,0.0,0.0311,19.1,18.3,18.3,0.0,0.757,6.31,6.12,0.183,0.0,"Panneau de support de crépis, liant en matière minérale, 12,5 mm",
109,99700.0,66500.0,33300.0,41.8,40.8,32.9,7.87,1.03,306.0,294.0,206.0,87.6,12.5,69.7,39.5,30.1,0.778,"Élargissement du cadre, PVC",
110,43500.0,35900.0,7590.0,94.4,94.2,35.1,59.2,0.12,124.0,121.0,91.8,28.8,3.52,26.1,19.5,6.59,6.68,"Élargissement du cadre, panneau de particules",
111,150000.0,148000.0,2110.0,35.4,35.4,35.4,0.0,0.0287,283.0,282.0,278.0,4.13,0.542,67.8,65.9,1.91,0.0,"Protection solaire, stores à projection avec moteur 4",Glare-reducing glass
112,133000.0,131000.0,1620.0,31.9,31.9,31.9,0.0,0.0251,249.0,248.0,248.0,0.0,0.433,59.9,58.5,1.47,0.0,"Protection solaire, stores vénitiens avec moteur 4",
113,168000.0,167000.0,799.0,43.9,43.9,43.9,0.0,0.0213,313.0,313.0,313.0,0.0,0.406,74.7,74.0,0.694,0.0,"Protection solaire, contrevent sur enrouleur avec moteur 4",
114,12500.0,12500.0,19.8,5.22,5.22,5.22,0.0,0.000771,24.8,24.8,24.8,0.0,0.0314,5.58,5.57,0.00792,0.0,"Tôle d'aluminium, nue",Aluminium
115,11500.0,11400.0,19.8,5.24,5.24,5.24,0.0,0.000771,25.6,25.6,25.6,0.0,0.0314,5.69,5.69,0.00792,0.0,"Profil d'aluminium, nu",Aluminium
116,12700.0,12700.0,19.8,4.26,4.26,4.26,0.0,0.000771,8.88,8.85,8.85,0.0,0.0314,2.67,2.66,0.00792,0.0,"Profil d'aluminium, nu, WICONA, fabriqué avec Hydro CIRCAL 75R",Aluminium
117,1590.0,1570.0,19.5,0.352,0.35,0.35,0.0,0.00197,3.44,3.39,3.39,0.0,0.0505,0.785,0.773,0.0122,0.0,Acier d'armature,Weathering steel
118,3810.0,3790.0,19.8,0.24,0.239,0.239,0.0,0.000771,3.84,3.8,3.8,0.0,0.0314,1.02,1.01,0.00792,0.0,Plomb,Lead
119,9700.0,9690.0,11.1,2.38,2.38,2.38,0.0,0.000567,14.6,14.5,14.5,0.0,0.0272,4.12,4.11,0.00693,0.0,"Tôle d'acier nickel-chrome 18/8, nue",Chrome steel
120,13000.0,13000.0,11.1,2.65,2.65,2.65,0.0,0.000567,22.3,22.2,22.2,0.0,0.0272,5.87,5.87,0.00693,0.0,Tôle d'acier nickel-chrome étamée 18/8,Nickel steel
121,7070.0,7060.0,11.1,0.96,0.96,0.96,0.0,0.000567,8.53,8.51,8.51,0.0,0.0272,2.74,2.73,0.00693,0.0,"Tôle d'acier chromé, nue",Chrome steel
122,10400.0,10400.0,11.1,1.22,1.22,1.22,0.0,0.000567,16.2,16.2,16.2,0.0,0.0272,4.49,4.48,0.00693,0.0,"Tôle d'acier chromé, étamée",Chrome steel
123,24500.0,24500.0,19.8,1.62,1.62,1.62,0.0,0.000771,8.9,8.87,8.87,0.0,0.0314,2.2,2.2,0.00792,0.0,"Tôle de cuivre, nue",Copper
124,25500.0,25400.0,19.8,1.88,1.88,1.88,0.0,0.000771,11.1,11.0,11.0,0.0,0.0314,2.71,2.7,0.00792,0.0,Tôle de laiton/bronze de construction,Brass
125,5260.0,5250.0,11.1,0.612,0.612,0.612,0.0,0.000567,7.8,7.77,7.77,0.0,0.0272,2.8,2.79,0.00693,0.0,Tôle d'acier nue,Sheet
126,15200.0,15200.0,11.1,1.37,1.37,1.37,0.0,0.000567,15.6,15.6,15.6,0.0,0.0272,4.49,4.48,0.00693,0.0,"Tôle d'acier, zinguée",Zinc
127,1290.0,1280.0,11.1,0.245,0.245,0.245,0.0,0.000567,3.38,3.35,3.35,0.0,0.0272,0.736,0.729,0.00693,0.0,"Profil en acier, nu",Steel
128,27800.0,27800.0,19.8,2.59,2.59,2.59,0.0,0.000771,17.5,17.4,17.4,0.0,0.0314,4.02,4.02,0.00792,0.0,Tôle zinc-titane,Titanium
129,1010.0,932.0,80.3,13.3,13.2,8.3,4.95,0.00604,2.18,2.09,1.75,0.337,0.0923,0.469,0.414,0.0553,0.433,Bois massif 3 et 5 plis,Wood
130,789.0,716.0,73.8,8.59,8.58,3.49,5.09,0.00602,1.56,1.47,1.37,0.097,0.091,0.342,0.293,0.0492,0.446,Bois d'équarrissage,Wood
131,769.0,695.0,73.8,8.14,8.13,3.07,5.06,0.00602,1.53,1.44,1.3,0.142,0.091,0.335,0.285,0.0492,0.446,Bois lamellé-collé,Wood
132,680.0,606.0,73.8,8.0,8.0,2.9,5.1,0.00602,1.2,1.11,1.03,0.0844,0.091,0.253,0.204,0.0492,0.447,"Bois lamellé-collé, colle MF, zone humide, production Suisse",Wood
133,769.0,695.0,73.8,8.14,8.13,3.07,5.06,0.00602,1.53,1.44,1.3,0.142,0.091,0.335,0.285,0.0492,0.446,Bois lamellé-collé,Wood
