,Unnamed: 0.1,Unnamed: 0,id,title,description,material_state,category,BIM_class,location,date_published,price_initial,price_latest,price_change,imagefiles,material_type,co2,avoided_waste,quantity_initial,quantity_latest,disappeared,country,sold,sold_after,city,deconstruction,state,constraints,price,publishDate,images,distance,rseSummary,promotion,source,conditioning,rate,diag_it,showroom,avoidedWastes,trustLevel,quantity,min_quantity,end_date,pickup_start_date,pickup_end_date,deposit_mode,date,object,material,dim,quantity_n
12,20,20,03e89c79-14b9-4bd6-bb43-2d7b71b46b78,Centrale d'alarme,Centrale d'alarme,correct,security_system,D.50.30.05.3,RENNES,2022-07-18,70.0,70.0,0.0,"['/upload/material/images/610deedb-7ad8-4ed0-b3b2-74a03aa5fefb.jpeg', '/upload/material/images/fdbc697f-8f90-413c-81e0-a98f42b6b528.jpeg', '/upload/material/images/17110309-2948-421c-a40e-a3f063f5d572.jpeg', '/upload/material/images/6a5fe436-e0fd-434f-a88c-fe94e8bea67d.jpeg']",used,,,1.0,1.0,2022-09-26,FR,1.0,70.0,,,,,"{'score': 0.14952608942985535, 'start': 0, 'end': 17, 'answer': ""Centrale d'alarme""}",,,,,,,,,,,,,,,,,,,,Centrale d'alarme,,,
13,23,23,045b9c82-a94a-4c58-b5e9-361969a65a61,Porte de placard,Porte de placard en bois vernis aspect couleur miel.,verygood,storage_unit,E.20.20.05.5a,PARIS-8E-ARRONDISSEMENT,2022-05-17,40.0,40.0,0.0,"['/upload/material/images/51e2c83a-9555-4823-9de1-8aac90134eea.jpeg', '/upload/material/images/4b51a8ef-3cd6-4366-9a77-2358e9f284ff.jpeg', '/upload/material/images/3f0e58ef-08b3-46c3-948e-ad3b3ed5ea98.jpeg']",used,,,43.0,43.0,2023-03-26,FR,1.0,313.0,,,,,"{'score': 0.0004146581923123449, 'start': 0, 'end': 52, 'answer': 'Porte de placard en bois vernis aspect couleur miel.'}",,,,,,,,,,,,,,,,,,,,Porte de placard, bois,,
14,27,27,04f5d854-5dde-46cf-81b3-4ab959538757,Porte simple manuelle,"Porte simple manuelle en bois massif.  Finition vernis. Essence : noyer. Quincaillerie en laiton vernis. Epaisseur du bâti : 13 cm (Dimension avec bâti : Largeur 105 cm, Hauteur 215 cm).",verygood,simple_solid_doors,C.10.20.01.1d,PARIS-8E-ARRONDISSEMENT,2022-05-17,99.0,99.0,0.0,"['/upload/material/images/72219963-f7ba-49fa-abc0-3eb66242f550.jpeg', '/upload/material/images/d8a16121-5887-44b5-8e14-d60fe513528e.jpeg', '/upload/material/images/ed9b234e-bd36-4e4c-b0ca-4ab8847bea39.jpeg', '/upload/material/images/dcd68dd2-c795-4829-8105-312512742bf5.jpeg']",used,,,8.0,8.0,2022-09-26,FR,1.0,132.0,,,,,"{'score': 9.968076710720197e-07, 'start': 0, 'end': 21, 'answer': 'Porte simple manuelle'}",,,,,,,,,,,,,,,,,,,,Porte simple manuelle, bois massif.,,
15,28,28,050b55de-03ee-4e39-afab-c140b79991fd,Radiateur à eau en Acier,Radiateur à eau en Acier de marque Acova,correct,electronically_heat,D.30.50.02.2a,RENNES,2022-07-18,62.0,62.0,0.0,"['/upload/material/images/fc8c8d05-d130-4c6c-9ab2-c101b2c4f9d4.jpeg', '/upload/material/images/d7952420-6306-4d19-aa72-480619020c85.jpeg', '/upload/material/images/b17ed31a-8fc1-41de-8f95-7da863d71b53.jpeg', '/upload/material/images/d16ebfea-3884-4100-a508-9449df6d2ab1.jpeg']",used,,,12.0,12.0,2022-09-26,FR,1.0,70.0,,,,,"{'score': 0.027454612776637077, 'start': 0, 'end': 24, 'answer': 'Radiateur à eau en Acier'}",,,,,,,,,,,,,,,,,,,,, Acier,,
16,30,30,0520ed99-3dd8-42bf-bc72-bbbda7da2bb2,Porte garage toile,Porte garage motorisé en toile de dimension 4.7mx2.5m de haut.,correct,other_interior_special_door,C.10.20.90.6,PARIS-10E-ARRONDISSEMENT,2022-08-26,150.0,150.0,0.0,['/upload/material/images/94855f4e-8381-4fc6-ac74-9ab9c64adc66.png'],used,,,1.0,1.0,2022-09-26,FR,1.0,31.0,,,,,"{'score': 0.00013167802535463125, 'start': 0, 'end': 30, 'answer': 'Porte garage motorisé en toile'}",,,,,,,,,,,,,,,,,,,,, toile,,
17,31,31,0534fc2f-5ad8-40ee-a333-807489825689,Ouvrant porte alvéolaire - 73 cm,Ouvrant sans cadre de porte,damaged,simple_solid_doors,C.10.20.01.1e,CLERMONT-FERRAND,2022-02-25,10.0,10.0,0.0,['/upload/material/images/49d5515b-0839-4e82-a36e-14c0f1d26e42.jpeg'],used,,,1.0,1.0,2023-09-24,FR,2.0,576.0,,,,,"{'score': 2.520226189517416e-05, 'start': 0, 'end': 27, 'answer': 'Ouvrant sans cadre de porte'}",,,,,,,,,,,,,,,,,,,,Ouvrant sans cadre de porte,,,
18,32,32,0585c0fd-d737-48e1-8907-ee02bbaf3abb,Caméra,Caméra de surveillance,correct,security_system,D.50.30.05.1,CHATILLON,2022-07-06,10.0,100.0,90.0,['/upload/material/images/a89165fc-ae32-4782-b0d1-d5127caba7b0.jpeg'],used,,,1.0,1.0,2023-02-21,FR,1.0,230.0,,,,,"{'score': 0.008335172198712826, 'start': 0, 'end': 22, 'answer': 'Caméra de surveillance'}",,,,,,,,,,,,,,,,,,,,Caméra de surveillance,,,
19,34,34,059cfc44-fea3-4193-b105-1a27892f41e2,Dalle luminaire type grille,Dalle luminaire type grille à 4 tubes néons.,correct,lighting_general_equipment,D.50.20.02.3,CHAMPS-SUR-MARNE,2022-04-05,20.0,20.0,0.0,['/upload/material/images/0986e7bc-a635-4a3d-a386-b680904e780d.jpg'],used,,,858.0,858.0,2023-09-24,FR,2.0,537.0,,,,,"{'score': 0.0013098381459712982, 'start': 0, 'end': 44, 'answer': 'Dalle luminaire type grille à 4 tubes néons.'}",,,,,,,,,,,,,,,,,,,,Dalle luminaire,,,
20,36,36,05fec4c2-e590-4763-98d3-34b8c0240b89,Vasque simple sur colonne,Vasque simple sur colonne en Céramique,correct,lavatories,D.20.10.04.4b,CHATEAUROUX,2022-07-26,50.0,50.0,0.0,['/upload/material/images/0212d3a4-bf97-46a3-a472-25dfcc7a2a59.png'],used,,,42.0,20.0,2022-11-30,FR,1.0,127.0,,,,,"{'score': 0.13504281640052795, 'start': 0, 'end': 38, 'answer': 'Vasque simple sur colonne en Céramique'}",,,,,,,,,,,,,,,,,,,,, Céramique,,
21,38,38,0645e471-ffaf-47dc-b147-5ed2123906a4,Mécanisme commande chasse d'eau SIAMP Ingenio,"Réf : 34 37 2607
Mécanisme pour plaque de commande.",new,other_plumbing_fixture,D.20.10.01.3,CLERMONT-FERRAND,2022-02-28,1.0,1.0,0.0,['/upload/material/images/79d52dbb-9002-45fb-8e2d-3a49cbe08586.jpg'],new,,,5.0,5.0,2023-09-24,FR,2.0,573.0,,,,,"{'score': 0.001269821310415864, 'start': 5, 'end': 16, 'answer': ' 34 37 2607'}",,,,,,,,,,,,,,,,,,,,"
Mécanisme pour plaque de commande.",,,
22,39,39,0675094d-fb99-4179-8fb6-00ff62210ac7,Spot encastré,Spot encastré,correct,lighting_general_equipment,D.50.20.02.13,ARGENTEUIL,2022-06-23,12.0,12.0,0.0,['/upload/material/images/ecca3a76-b82c-4a79-8506-ca5a58cf8976.jpeg'],used,,,12.0,12.0,2022-09-26,FR,1.0,95.0,,,,,"{'score': 0.013467972166836262, 'start': 0, 'end': 13, 'answer': 'Spot encastré'}",,,,,,,,,,,,,,,,,,,,Spot encastré,Spot encastré,,
23,41,41,0684dfdb-3933-496f-9d62-3ad8cc62d99c,Cloison amovible,"Cloison amovible en PVC, dimensions données pour un panneau.",correct,demountable_partitions,C.10.10.02.1g,ARGENTEUIL,2022-06-23,40.0,40.0,0.0,['/upload/material/images/42a98145-7788-4916-81a3-29c2dd5b8b0b.jpeg'],used,,,4.0,4.0,2022-09-26,FR,1.0,95.0,,,,,"{'score': 4.5091430365573615e-05, 'start': 0, 'end': 24, 'answer': 'Cloison amovible en PVC,'}",,,,,,,,,,,,,,,,,,,,," PVC,", dimensions données pour un panneau.,
24,42,42,0686829a-38ea-475d-a916-f49136e36b49,Vasque simple sur colonne,Vasque simple sur colonne en céramique,correct,lavatories,D.20.10.04.4b,ARGENTEUIL,2022-06-23,35.0,35.0,0.0,['/upload/material/images/9890ea3f-8a73-4609-83fe-c6fdfc7c76b0.jpeg'],used,,,1.0,1.0,2022-09-26,FR,1.0,95.0,,,,,"{'score': 0.008794853463768959, 'start': 0, 'end': 38, 'answer': 'Vasque simple sur colonne en céramique'}",,,,,,,,,,,,,,,,,,,,Vasque simple sur colonne en céramique, céramique,,
25,43,43,06909e76-d400-46eb-821e-afc81a15fd82,Porte de Hall en Aluminium,Les conditions de dépose et prix sont renseignés à titre indicatif et sont à définir directement avec le vendeur.,correct,solid_exterior_door,B.20.30.01.1b,TOULOUSE,2022-07-19,2.0,2.0,0.0,"['/upload/material/images/5f02aead-8f28-44ec-ba03-dc18cafb89b1.jpg', '/upload/material/images/d91ce8bb-53c8-4135-9849-389d26d69b34.jpg']",used,,,2.0,2.0,2022-09-26,FR,1.0,69.0,,,,,"{'score': 0.0025900581385940313, 'start': 27, 'end': 66, 'answer': ' prix sont renseignés à titre indicatif'}",,,,,,,,,,,,,,,,,,,,,,,
26,45,45,06b7818b-717c-4f89-b858-e2473b9d4aa0,Ouvrant porte alvéolaire - 66 cm,Ouvrant sans cadre de porte,damaged,simple_solid_doors,C.10.20.01.1e,CLERMONT-FERRAND,2022-02-25,10.0,10.0,0.0,['/upload/material/images/e4a49835-96d8-4410-b823-915cc3cdbd61.jpg'],used,,,1.0,1.0,2023-09-24,FR,2.0,576.0,,,,,"{'score': 2.520226189517416e-05, 'start': 0, 'end': 27, 'answer': 'Ouvrant sans cadre de porte'}",,,,,,,,,,,,,,,,,,,,Ouvrant sans cadre de porte,,,
27,46,46,06db898d-46bc-45d4-845d-816c507f8a04,Bac de lavage,"Bac de lavage, Nelson mobilier . Assises cuir clair, bac céramique blanche, système élec de massage.",correct,other_plumbing_fixture,D.20.10.01.1,LYON--3E--ARRONDISSEMENT,2022-07-01,350.0,350.0,0.0,['/upload/material/images/788509b7-3ba5-4534-bc8a-e604fd80b420.jpg'],used,,,3.0,3.0,2022-09-26,FR,1.0,87.0,,,,,"{'score': 5.340661118680146e-06, 'start': 0, 'end': 30, 'answer': 'Bac de lavage, Nelson mobilier'}",,,,,,,,,,,,,,,,,,,,"Bac de lavage,",,,
28,47,47,06f0ff32-5a1c-4d9f-94d9-4bea689beb8f,Porte coupe feu,"Porte tierce coupe feu avec ferme porte et serrure à verrouillage manuel. Poignée en plastique gris, finition plaque de bois gris clair.",correct,fire_doors,C.10.20.03,CHAMPS-SUR-MARNE,2022-04-05,50.0,50.0,0.0,"['/upload/material/images/03ee3ce3-f779-4f99-bdc3-68e9ca497cb6.jpg', '/upload/material/images/4ce4d7f8-e426-443f-b965-2d7818b19e6a.jpg', '/upload/material/images/85b98683-ca87-4500-9283-c02ed9b9bbcb.jpg', '/upload/material/images/b650703d-5adf-4f5f-bcc4-46f139d6e45b.jpg', '/upload/material/images/1e63e3c9-57e0-4b49-8a63-9a6b2eaaee6f.jpg']",used,,,193.0,193.0,2023-09-24,FR,2.0,537.0,,,,,"{'score': 1.60072922881227e-05, 'start': 0, 'end': 22, 'answer': 'Porte tierce coupe feu'}",,,,,,,,,,,,,,,,,,,,Porte tierce coupe feu,,,
29,48,48,06f9c866-916e-42c8-a0d7-2613ea70a6b4,Chauffe eau instantané gaz,"Chauffe eau instantané gaz, collectif de hauteur de 58 cm et diamètre de 50 cm.
50 L",correct,hot_water_supply,D.30.10.04.7,ORLEANS,2022-04-15,60.0,60.0,0.0,['/upload/material/images/ee04edad-f771-4930-9d3b-bbc00847169c.jpeg'],used,,,3.0,3.0,2023-01-19,FR,1.0,279.0,,,,,"{'score': 0.0003578238538466394, 'start': 0, 'end': 27, 'answer': 'Chauffe eau instantané gaz,'}",,,,,,,,,,,,,,,,,,,,," gaz,", hauteur de 58 cm et diamètre de 50 cm.,"
50 L"
30,50,50,070ecdd2-5b63-4957-82f6-404069d22103,Radiateur électrique,"Deux radiateurs électriques de la gamme Atlantic en bon état, simples, accessibles et vous retrouvez tout le confort d’une chaleur douce
Marque : ATLANTIC
Dimension : 70*35 & 25*35
Matière : Corps de chauffe en aluminium
Couleur : Blanc
Prix : 40€ la pièce",correct,other_source_of_energy,D.30.10.90,SAINT-ETIENNE,2022-06-16,40.0,40.0,0.0,"['/upload/material/images/9c0eafe6-4395-4202-b925-a038ef374b66.jpg', '/upload/material/images/ed4d39ea-e9e1-44f2-a5d5-a42f18305f52.jpg', '/upload/material/images/91932e9d-88dd-499b-9531-7d8b6b8d26fd.jpg']",used,,,2.0,2.0,2023-09-24,FR,2.0,465.0,,,,,"{'score': 0.7815324068069458, 'start': 248, 'end': 252, 'answer': ' 40€'}",,,,,,,,,,,,,,,,,,,,, aluminium, 70*35 & 25*35, 70*35 & 25*35
31,51,51,07208d0d-991f-49d3-87ad-d512938e4925,Dalles de faux plancher stratifié,dalles de type GAMABOX stratifié de 38mm de bois et 2mm de stratifié,verygood,false_floor,C.30.20.01.1c,DORMANS,2022-05-31,25.0,25.0,0.0,"['/upload/material/images/bf60ae9f-6dbc-4bac-9d9b-538f779359ae.jpg', '/upload/material/images/394af3a3-2c5a-42e6-8d85-55a884f57eff.JPG', '/upload/material/images/2774e187-dc06-4f06-b027-2ecc86d4c413.jpg']",reconditioned,,,3900.0,2750.0,2023-01-19,FR,1.0,233.0,,,,,"{'score': 0.0001085412222892046, 'start': 0, 'end': 32, 'answer': 'dalles de type GAMABOX stratifié'}",,,,,,,,,,,,,,,,,,,,, stratifié,,
32,52,52,072fc35a-418d-46aa-96fb-f08df6eb74fb,Distributeur de savon,"Distributeur de savon, en métal.",verygood,bath_and_toilet_accessories,C.10.30.02.7,PARIS-13E-ARRONDISSEMENT,2022-08-11,15.0,15.0,0.0,"['/upload/material/images/2c29b06f-520f-4942-a42c-b5908405a8b9.JPG', '/upload/material/images/9504e027-e051-42c1-82c8-adf0c61069e7.JPG']",used,,,1.0,1.0,2023-05-04,FR,1.0,266.0,,,,,"{'score': 0.001866591745056212, 'start': 0, 'end': 32, 'answer': 'Distributeur de savon, en métal.'}",,,,,,,,,,,,,,,,,,,,"Distributeur de savon,", métal.,,
33,54,54,07855c1d-8429-46a7-90dd-79a4b4669f17,Radiateurs acier,"Dimensions diverses. Exemples : Largeur x hauteur x épaisseur en m – 4x0,45x0,07 (2U.) / 1x0,6x0,1 / 0,45x0,9x0,1 ...",verygood,electronically_heat,D.30.50.02.2a,PARIS-10E-ARRONDISSEMENT,2022-08-25,40.0,40.0,0.0,"['/upload/material/images/db017c17-7bdf-4867-8b1e-e7ad81e982ac.png', '/upload/material/images/810a99de-aff5-4c9f-922d-64b1078cd336.png', '/upload/material/images/347d8fc2-01cb-43be-8e23-8e7a4a3483eb.png']",reconditioned,,,9.0,9.0,2022-09-26,FR,1.0,32.0,,,,,"{'score': 1.4758425948002696e-07, 'start': 68, 'end': 80, 'answer': ' 4x0,45x0,07'}",,,,,,,,,,,,,,,,,,,,,,,
34,55,55,07dee294-5bef-4e9b-9d2b-66a506197181,Caméra,Caméra de vidéo surveillance fixé par un pied au mur.,correct,security_system,D.50.30.05.1,CHAMPS-SUR-MARNE,2022-04-05,30.0,30.0,0.0,['/upload/material/images/d0b23ea2-3082-4252-ba16-37c4b064dea2.jpeg'],used,,,6.0,6.0,2023-09-24,FR,2.0,537.0,,,,,"{'score': 0.0002621277526486665, 'start': 0, 'end': 28, 'answer': 'Caméra de vidéo surveillance'}",,,,,,,,,,,,,,,,,,,,Caméra de vidéo surveillance,,,
35,56,56,07e6a6c5-f87d-4036-9148-bd5355d80061,Lampe d'extérieur rurale poteau gris,Poteau luminaire extérieur,correct,lighting_general_equipment,D.50.20.02.2,NANTES,2022-01-21,190.0,190.0,0.0,"['/upload/material/images/080a9453-ad84-4fd8-9c58-a0d748fb32ac.jpeg', '/upload/material/images/947e9764-7855-4d50-9f57-a8d023fd1d0f.jpeg', '/upload/material/images/62caa3a5-2327-43c6-ad5d-c7d33aec697e.jpeg']",used,,,8.0,8.0,2022-10-03,FR,1.0,255.0,,,,,"{'score': 0.025672778487205505, 'start': 0, 'end': 26, 'answer': 'Poteau luminaire extérieur'}",,,,,,,,,,,,,,,,,,,,Poteau luminaire extérieur,,,
36,58,58,081c4780-e007-44cb-907b-b185fa64d284,Vasque simple sur colonne,"Vasque simple sur colonne en céramique de la marque Villeroy&Boch, de longueur de 53 cm, largeur de 45 et hauteur de 15 cm.",correct,lavatories,D.20.10.04.4b,PARIS-13E-ARRONDISSEMENT,2022-08-11,50.0,50.0,0.0,"['/upload/material/images/f0cd7b1a-b5a8-4d05-81c0-305ff7c22857.jpeg', '/upload/material/images/bbfe60fc-9755-49c6-b349-780d6ba71c9a.jpeg', '/upload/material/images/627afbc2-655e-45f9-8be9-3f4bb1d77536.jpeg']",used,,,2.0,2.0,2023-09-24,FR,2.0,409.0,,,,,"{'score': 0.0008786527323536575, 'start': 51, 'end': 66, 'answer': ' Villeroy&Boch,'}",,,,,,,,,,,,,,,,,,,,, céramique,,
37,59,59,082142cb-edac-42fd-a02e-c74c8d4dfdb6,Vasque simple encastrée,Vasque simple en céramique encastrée dans un plan vasque en marbre de carrare vert. Dimension du plan vasque : 166 cm longueur / 58 cm de largeur / 15 cm de hauteur.  Vendu sans robinet et bonde.,verygood,lavatories,D.20.10.04.1d,PARIS-8E-ARRONDISSEMENT,2022-05-17,100.0,100.0,0.0,"['/upload/material/images/15677621-7bc9-460e-8df8-32af78713896.jpeg', '/upload/material/images/29f82826-3472-4033-8825-225291497063.jpeg', '/upload/material/images/6ec2b808-836a-4c05-9946-f247a98291b3.jpeg', '/upload/material/images/aedf4a5b-2ed3-480a-b46c-6c3022ee6be8.jpeg', '/upload/material/images/a66418a7-2039-41f0-97d7-c78a4d0c176b.jpeg']",used,,,2.0,2.0,2022-10-03,FR,1.0,139.0,,,,,"{'score': 0.06803631037473679, 'start': 172, 'end': 195, 'answer': ' sans robinet et bonde.'}",,,,,,,,,,,,,,,,,,,,, marbre de carrare vert.,,
38,60,60,08ccf8b1-4256-4156-8f73-0eabb63133c2,Ballon de stockage collectif,Ballon de stockage collectif de marque Atlantic,damaged,hot_water_supply,D.30.10.04.3,RENNES,2022-07-15,126.0,126.0,0.0,"['/upload/material/images/7ba9d84e-9e96-4f47-9a99-ffaae024cb9f.jpeg', '/upload/material/images/4ce06372-29dc-447c-b28e-4e13d4eaab06.jpeg', '/upload/material/images/e6430400-7018-4c14-82c5-1f35f6840ddf.jpeg']",used,,,1.0,1.0,2022-09-26,FR,1.0,73.0,,,,,"{'score': 0.00028401194140315056, 'start': 0, 'end': 47, 'answer': 'Ballon de stockage collectif de marque Atlantic'}",,,,,,,,,,,,,,,,,,,,Ballon de stockage collectif,,,
