,Category,Category_1,Subcategory,URL,Title,ID,Imagefile,Bredde,Bredde_unit,Højde,Højde_unit,Tykkelse,Tykkelse_unit,Dørkarm,Quantity,LastPrice,Saved,LastUpOn,Hængning,Bredde m/karm,Bredde m/karm_unit,Højde m/karm,Højde m/karm_unit,Karmtykkelse,Karmtykkelse_unit,FirstPrice,PriceChange,Description,Skinne,Gammelt glas,Med hjørnebånd,Glas,Defekte glas,Materiale,Monteret før,Produktionsår,Produktionsår_unit,Til indmuring,Overfalset,Med vinkelhængsler,Koblet,Med udskyderstang,Længde,Længde_unit,Dybde,Dybde_unit,Konvektorer,Konvektorer_unit,Ophængsbeslag,Med termostat,Trykprøvet,Store,Country,Language,Bundstykke,Fyldningstype,Fyldningstype_unit,Fast ramme,Alu på træ,Title_en
10,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/267542/yderdoer-med-karm,Yderdør med karm,267542,"['/dyn/resources/Shop_Model_Product/image/2/267542/1694169051/old2columns/267542.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/351140/1694169058/old2columns/267542.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/351141/1694169060/old2columns/267542.jpg']",89.5,cm,180.0,cm,11.7,cm,,1 stk,1600.0,2023-03-02,2023-10-29,Venstrehængt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Exterior door with frame
11,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/267538/vaerkstedsdoer-med-karm,Værkstedsdør med karm,267538,"['/dyn/resources/Shop_Model_Product/image/8/267538/1694168108/old2columns/267538.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/351131/1694168120/old2columns/267538.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/351129/1694168115/old2columns/267538.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/351130/1694168116/old2columns/267538.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/351132/1694168122/old2columns/267538.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/351133/1694168125/old2columns/267538.jpg']",100.0,cm,210.0,cm,6.0,cm,,1 stk,2250.0,2023-03-02,2023-06-01,Venstrehængt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Workshop door with frame
12,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/267456/yderdoer-fra-ideal-combi-med-halvbue,Yderdør fra Ideal Combi med halvbue,267456,"['/dyn/resources/Shop_Model_Product/image/6/267456/1693924448/old2columns/267456.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/350800/1693551794/old2columns/267456.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/350798/1693551787/old2columns/267456.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/350801/1693551795/old2columns/267456.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/350802/1693551797/old2columns/267456.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/350803/1693551799/old2columns/267456.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/350804/1693551801/old2columns/267456.jpg']",94.7,cm,220.0,cm,12.3,cm,,1 stk,7500.0,2023-04-20,2023-10-30,Højrehængt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Outer door from Ideal Combi with half arch
13,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/267327/udhusdoer-mkarm,Udhusdør m/karm,267327,"['/dyn/resources/Shop_Model_Product/image/7/267327/1692365672/old2columns/267327.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/350295/1692365658/old2columns/267327.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/350292/1692365657/old2columns/267327.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/350291/1692365654/old2columns/267327.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/350294/1692365658/old2columns/267327.jpg']",95.0,cm,205.5,cm,9.5,cm,,16 stk,650.0,2023-04-26,2023-10-15,Venstrehængt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Exterior door w/frame
14,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/267162/rationel-facadedoer,Rationel facadedør,267162,"['/dyn/resources/Shop_Model_Product/image/2/267162/1690808729/old2columns/267162.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/349612/1690794841/old2columns/267162.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/349610/1690794835/old2columns/267162.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/349613/1690794842/old2columns/267162.jpg']",94.0,cm,240.0,cm,11.5,cm,,1 stk,3500.0,2023-03-04,2023-11-02,Højrehængt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Rational facade door
15,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/266999/yderdoer-med-karm,Yderdør med karm,266999,"['/dyn/resources/Shop_Model_Product/image/9/266999/1688628874/old2columns/266999.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/349078/1688627577/old2columns/266999.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/349075/1688627566/old2columns/266999.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/349076/1688627573/old2columns/266999.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/349077/1688627575/old2columns/266999.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/349079/1688627578/old2columns/266999.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/349080/1688627579/old2columns/266999.jpg']",88.0,cm,213.5,cm,12.0,cm,,1 stk,2800.0,2023-03-02,2023-10-04,Højrehængt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Exterior door with frame
16,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/267043/yderdoer-med-glas-og-karm,Yderdør med glas og karm,267043,"['/dyn/resources/Shop_Model_Product/image/3/267043/1689330470/old2columns/267043.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/349264/1689330182/old2columns/267043.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/349268/1689330193/old2columns/267043.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/349269/1689330194/old2columns/267043.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/349267/1689330191/old2columns/267043.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/349266/1689330190/old2columns/267043.jpg']",97.0,cm,216.0,cm,12.0,cm,,1 stk,8500.0,2023-03-02,2023-10-31,Venstrehængt,97.0,cm,216.0,cm,12.0,cm,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Exterior door with glass and frame
17,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/266979/stalddoer-med-karm,Stalddør med karm,266979,"['/dyn/resources/Shop_Model_Product/image/9/266979/1688985486/old2columns/266979.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/349007/1688475216/old2columns/266979.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/349009/1688475218/old2columns/266979.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/349010/1688475220/old2columns/266979.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/349006/1688475208/old2columns/266979.jpg']",98.0,cm,230.0,cm,11.7,cm,,1 stk,2800.0,2023-03-02,2023-04-25,Højrehængt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Barn door with frame
18,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/266823/yderdoer-med-karm,Yderdør med karm,266823,"['/dyn/resources/Shop_Model_Product/image/3/266823/1686918586/old2columns/266823.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/348312/1686918554/old2columns/266823.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/348319/1686918561/old2columns/266823.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/348318/1686918560/old2columns/266823.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/348320/1686918562/old2columns/266823.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/348316/1686918559/old2columns/266823.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/348317/1686918559/old2columns/266823.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/348313/1686918555/old2columns/266823.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/348311/1686918551/old2columns/266823.jpg']",93.5,cm,214.0,cm,11.5,cm,,1 stk,3500.0,2023-03-02,2023-10-29,Højrehængt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Exterior door with frame
19,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/266550/dobbelt-terrassedoer-med-karm,Dobbelt terrassedør med karm,266550,"['/dyn/resources/Shop_Model_Product/image/0/266550/1684505949/old2columns/dobbelt-terrassedoer-med-karm-266550.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/347072/1684501795/old2columns/dobbelt-terrassedoer-med-karm-266550.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/347073/1684501804/old2columns/dobbelt-terrassedoer-med-karm-266550.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/347074/1684501806/old2columns/dobbelt-terrassedoer-med-karm-266550.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/347075/1684501810/old2columns/dobbelt-terrassedoer-med-karm-266550.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/347076/1684501813/old2columns/dobbelt-terrassedoer-med-karm-266550.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/347078/1684501819/old2columns/dobbelt-terrassedoer-med-karm-266550.jpg']",124.8,cm,254.8,cm,11.5,cm,,1 stk,4900.0,2023-03-02,2023-11-02,Venstrehængt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Double patio door with frame
20,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/266157/hoveddoer-i-teak-med-karm,Hoveddør i teak med karm,266157,"['/dyn/resources/Shop_Model_Product/image/7/266157/1681718386/old2columns/266157.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/345422/1681718404/old2columns/266157.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/345418/1681718392/old2columns/266157.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/345419/1681718395/old2columns/266157.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/345420/1681718398/old2columns/266157.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/345421/1681718402/old2columns/266157.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/345423/1681718406/old2columns/266157.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/345426/1681718458/old2columns/266157.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/345427/1681718462/old2columns/266157.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/345530/1681823356/old2columns/hoveddoer-i-teak-med-karm-266157.jpg']",100.5,cm,206.0,cm,12.0,cm,,1 stk,4800.0,2023-03-02,2023-10-17,Venstrehængt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Main door in teak with frame
21,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/266000/yderdoersparti-i-teak,Yderdørsparti i teak,266000,"['/dyn/resources/Shop_Model_Product/image/0/266000/1679922938/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/344708/1679922046/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/344720/1679922101/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/344706/1679922035/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/344709/1679922048/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/344710/1679922050/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/344711/1679922052/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/344712/1679922054/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/344713/1679922058/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/344714/1679922064/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/344715/1679922067/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/344716/1679922069/old2columns/266000.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/344722/1679922889/old2columns/yderdoersparti-i-teak-266000.jpeg', '/dyn/resources/Shop_Model_Product_Image/image/4/344814/1680077680/old2columns/yderdoersparti-i-teak-266000.jpeg']",251.0,cm,213.0,cm,14.0,cm,,1 stk,15000.0,2023-03-02,2023-10-09,Højrehængt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Outer door section in teak
22,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/265988/egetraesdoer-med-karm,Egetræsdør med karm,265988,"['/dyn/resources/Shop_Model_Product/image/8/265988/1679907257/old2columns/265988.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/344648/1679905914/old2columns/265988.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/344643/1679905900/old2columns/265988.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/344645/1679905908/old2columns/265988.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/344646/1679905910/old2columns/265988.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/344650/1679905918/old2columns/265988.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/344649/1679905915/old2columns/265988.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/344647/1679905911/old2columns/265988.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/344651/1679905920/old2columns/265988.jpg']",109.0,cm,254.0,cm,15.5,cm,,1 stk,8500.0,2023-03-02,2023-10-30,Højrehængt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Oak door with frame
23,Doors and  Windows,Brugte Døre,Yderdøre,/doere-vinduer/brugte-doere/yderdoere/yderdoere/265989/egetraesdoer-med-karm,Egetræsdør med karm,265989,"['/dyn/resources/Shop_Model_Product/image/9/265989/1679908256/old2columns/265989.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/344663/1679908101/old2columns/265989.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/344652/1679907886/old2columns/265989.jpg', '/dyn/resources/Shop_Model_Product_Image/image/7/344657/1679907906/old2columns/265989.jpg', '/dyn/resources/Shop_Model_Product_Image/image/8/344658/1679907909/old2columns/265989.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/344662/1679908057/old2columns/265989.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/344654/1679907898/old2columns/265989.jpg', '/dyn/resources/Shop_Model_Product_Image/image/6/344656/1679907904/old2columns/265989.jpg', '/dyn/resources/Shop_Model_Product_Image/image/3/344653/1679907894/old2columns/265989.jpg', '/dyn/resources/Shop_Model_Product_Image/image/5/344655/1679907900/old2columns/265989.jpg']",88.0,cm,222.0,cm,12.0,cm,,1 stk,6000.0,2023-03-02,2023-10-22,Venstrehængt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Oak door with frame
24,Doors and  Windows,Brugte Døre,Terrassedøre,/doere-vinduer/brugte-doere/yderdoere/terrassedoere/267858/kpk-terrassedoer-med-karm,KPK terrassedør med karm,267858,"['/dyn/resources/Shop_Model_Product/image/8/267858/1695994047/old2columns/kpk-terrassedoer-med-karm-267858.jpg', '/dyn/resources/Shop_Model_Product_Image/image/9/352599/1695990052/old2columns/267858.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/352600/1695990057/old2columns/267858.jpg', '/dyn/resources/Shop_Model_Product_Image/image/1/352601/1695990057/old2columns/267858.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/352602/1695990059/old2columns/267858.jpg']",69.5,cm,219.0,cm,11.5,cm,,1 stk,3000.0,2023-03-02,2023-10-02,Højrehængt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,KPK patio door with frame
25,Doors and  Windows,Brugte Døre,Terrassedøre,/doere-vinduer/brugte-doere/yderdoere/terrassedoere/267314/idealcombi-terrasse-skydedoer,Idealcombi terrasse /skydedør,267314,"['/dyn/resources/Shop_Model_Product/image/4/267314/1694530393/old2columns/idealcombi-terrasse-skydedoer-267314.jpeg', '/dyn/resources/Shop_Model_Product_Image/image/5/350225/1692344756/old2columns/idealcombi-terrasse-skydedoer-267314.jpg', '/dyn/resources/Shop_Model_Product_Image/image/4/350224/1692344732/old2columns/idealcombi-terrasse-skydedoer-267314.jpg', '/dyn/resources/Shop_Model_Product_Image/image/0/350220/1692344656/old2columns/idealcombi-terrasse-skydedoer-267314.jpg', '/dyn/resources/Shop_Model_Product_Image/image/2/350222/1692344681/old2columns/idealcombi-terrasse-skydedoer-267314.jpg']",199.0,cm,216.0,cm,15.0,cm,m/karm,1 stk,10000.0,2023-03-21,2023-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genbyg,DK,dk,,,,,,Idealcombi terrace/sliding door
